Common Name,Scientific Name,Taxonomic Order
叉尾太阳鸟,Aethopyga christinae,30563
橙腹叶鹎,Chloropsis hardwickii,30686
斑文鸟,Lonchura punctulata,31076
白腰文鸟,Lonchura striata,31095
山麻雀,Passer cinnamomeus,31564
麻雀 (树麻雀),Passer montanus,31603
山鹡鸰,Dendronanthus indicus,31667
灰鹡鸰,Motacilla cinerea,31678
黄鹡鸰,Motacilla tschutschensis,31700
白鹡鸰,Motacilla alba,31720
理氏鹨,Anthus richardi,31752
树鹨,Anthus hodgsoni,31861
北鹨,Anthus gustavi,31865
黄腹鹨,Anthus japonicus,31882
燕雀,Fringilla montifringilla,31974
黑尾蜡嘴雀,Eophona migratoria,32097
金翅雀,Chloris sinica,32343
黄雀,Spinus spinus,32594
黄喉鹀,Emberiza elegans,32794
苇鹀,Emberiza pallasi,32801
黄胸鹀,Emberiza aureola,32827
小鹀,Emberiza pusilla,32830
田鹀,Emberiza rustica,32831
灰头鹀,Emberiza spodocephala,32835
黄眉鹀,Emberiza chrysophrys,32841
白眉鹀,Emberiza tristrami,32842
