taxon_id,name,latin,order,family,weighted_records,province_count,base_rarity,range_bonus,iucn_category,iucn_bonus,iucn_trend,rarity_index
4206,四声杜鹃,Cuculus micropterus,鹃形目,杜鹃科,1983.4,33,3.6884,0.0735,LC,0.0,Decreasing,3.76
4940,远东树莺,Horornis canturians,雀形目,树莺科,2652.0,29,3.3871,0.3676,LC,0.0,Stable,3.75
4095,翘鼻麻鸭,Tadorna tadorna,雁形目,鸭科,2216.2,32,3.5744,0.1471,LC,0.0,Increasing,3.72
5374,白腰文鸟,Lonchura striata,雀形目,梅花雀科,4211.9,23,2.8887,0.8088,LC,0.0,Stable,3.70
4207,大杜鹃,Cuculus canorus,鹃形目,杜鹃科,2339.9,32,3.5181,0.1471,LC,0.0,Stable,3.67
4922,极北柳莺,Phylloscopus borealis,雀形目,柳莺科,2165.6,33,3.5983,0.0735,LC,0.0,Stable,3.67
4451,普通燕鸥,Sterna hirundo,鸻形目,鸥科,2224.0,33,3.5708,0.0735,LC,0.0,Unknown,3.64
4757,黄腹山雀,Pardaliparus venustulus,雀形目,山雀科,2750.1,30,3.3489,0.2941,LC,0.0,Decreasing,3.64
4438,鸥嘴噪鸥,Gelochelidon nilotica,鸻形目,鸥科,2610.6,31,3.4037,0.2206,LC,0.0,Decreasing,3.62
4904,冕柳莺,Phylloscopus coronatus,雀形目,柳莺科,2838.8,31,3.3152,0.2206,LC,0.0,Decreasing,3.54
4225,白胸苦恶鸟,Amaurornis phoenicurus,鹤形目,秧鸡科,3053.2,30,3.2378,0.2941,LC,0.0,Unknown,3.53
4705,红尾伯劳,Lanius cristatus,雀形目,伯劳科,2313.5,34,3.5299,0.0000,LC,0.0,Decreasing,3.53
5494,黄喉鹀,Emberiza elegans,雀形目,鹀科,3465.3,29,3.1017,0.3676,LC,0.0,Stable,3.47
5398,黄腹鹨,Anthus rubescens,雀形目,鹡鸰科,3183.9,31,3.1929,0.2206,LC,0.0,Decreasing,3.41
4404,林鹬,Tringa glareola,鸻形目,鹬科,2740.4,34,3.3526,0.0000,LC,0.0,Unknown,3.35
4114,赤膀鸭,Mareca strepera,雁形目,鸭科,2973.1,33,3.2661,0.0735,LC,0.0,Stable,3.34
4356,中杓鹬,Numenius phaeopus,鸻形目,鹬科,2779.7,34,3.3375,0.0000,LC,0.0,Decreasing,3.34
4523,凤头鹰,Accipiter trivirgatus,鹰形目,鹰科,4250.8,28,2.8786,0.4412,LC,0.0,Decreasing,3.32
4115,赤颈鸭,Mareca penelope,雁形目,鸭科,2854.9,34,3.3092,0.0000,LC,0.0,Increasing,3.31
4397,白腰草鹬,Tringa ochropus,鸻形目,鹬科,2864.6,34,3.3056,0.0000,LC,0.0,Stable,3.31
4955,红头长尾山雀,Aegithalos concinnus,雀形目,长尾山雀科,5238.4,25,2.6458,0.6618,LC,0.0,Decreasing,3.31
4121,针尾鸭,Anas acuta,雁形目,鸭科,3151.5,33,3.2039,0.0735,LC,0.0,Decreasing,3.28
5187,虎斑地鸫,Zoothera aurea,雀形目,鸫科,2922.1,34,3.2845,0.0000,LC,0.0,Decreasing,3.28
4401,鹤鹬,Tringa erythropus,鸻形目,鹬科,3021.9,34,3.2488,0.0000,LC,0.0,Decreasing,3.25
4331,反嘴鹬,Recurvirostra avosetta,鸻形目,反嘴鹬科,3058.5,34,3.2359,0.0000,LC,0.0,Unknown,3.24
5408,灰鹡鸰,Motacilla cinerea,雀形目,鹡鸰科,3268.2,33,3.1649,0.0735,LC,0.0,Stable,3.24
5413,燕雀,Fringilla montifringilla,雀形目,燕雀科,3593.5,32,3.0624,0.1471,LC,0.0,Decreasing,3.21
5501,小鹀,Emberiza pusilla,雀形目,鹀科,3370.7,33,3.1316,0.0735,LC,0.0,Unknown,3.21
5475,黄雀,Spinus spinus,雀形目,燕雀科,3721.0,32,3.0245,0.1471,LC,0.0,Stable,3.17
5171,黑领椋鸟,Gracupica nigricollis,雀形目,椋鸟科,8236.7,20,2.1258,1.0294,LC,0.0,Increasing,3.16
4345,金眶鸻,Charadrius dubius,鸻形目,鸻科,3303.1,34,3.1534,0.0000,LC,0.0,Decreasing,3.15
4301,中白鹭,Ardea intermedia,鹈形目,鹭科,4065.7,32,2.9276,0.1471,LC,0.0,Decreasing,3.07
4107,凤头潜鸭,Aythya fuligula,雁形目,鸭科,3877.3,33,2.9795,0.0735,LC,0.0,Decreasing,3.05
4548,普通鵟,Buteo japonicus,鹰形目,鹰科,3704.8,34,3.0292,0.0000,LC,0.0,Unknown,3.03
4332,黑翅长脚鹬,Himantopus himantopus,鸻形目,反嘴鹬科,3793.5,34,3.0034,0.0000,LC,0.0,Stable,3.00
4391,扇尾沙锥,Gallinago gallinago,鸻形目,鹬科,3883.8,34,2.9777,0.0000,LC,0.0,Decreasing,2.98
4275,白琵鹭,Platalea leucorodia,鹈形目,鹮科,3961.8,34,2.9560,0.0000,LC,0.0,Increasing,2.96
4531,白腹鹞,Circus spilonotus,鹰形目,鹰科,4274.1,33,2.8725,0.0735,LC,0.0,Stable,2.95
5407,黄鹡鸰,Motacilla tschutschensis,雀形目,鹡鸰科,4508.5,33,2.8134,0.0735,LC,0.0,Decreasing,2.89
5211,斑鸫,Turdus eunomus,雀形目,鸫科,4608.2,33,2.7892,0.0735,LC,0.0,Unknown,2.86
4113,罗纹鸭,Mareca falcata,雁形目,鸭科,5033.0,33,2.6907,0.0735,NT,0.075,Stable,2.84
5225,北灰鹟,Muscicapa dauurica,雀形目,鹟科,4717.2,33,2.7631,0.0735,LC,0.0,Decreasing,2.84
4346,环颈鸻,Charadrius alexandrinus,鸻形目,鸻科,4541.1,34,2.8054,0.0000,LC,0.0,Decreasing,2.81
4375,黑腹滨鹬,Calidris alpina,鸻形目,鹬科,4706.7,34,2.7656,0.0000,LC,0.0,Decreasing,2.77
4111,琵嘴鸭,Spatula clypeata,雁形目,鸭科,4734.2,34,2.7591,0.0000,LC,0.0,Decreasing,2.76
4125,凤头䴙䴘,Podiceps cristatus,䴙䴘目,䴙䴘科,5949.7,32,2.5017,0.1471,LC,0.0,Unknown,2.65
4296,牛背鹭,Bubulcus coromandus,鹈形目,鹭科,5729.9,33,2.5445,0.0735,LC,0.0,Unknown,2.62
4434,西伯利亚银鸥,Larus vegae,鸻形目,鸥科,5745.4,33,2.5414,0.0735,LC,0.0,Unknown,2.61
4040,环颈雉,Phasianus colchicus,鸡形目,雉科,6727.5,31,2.3610,0.2206,LC,0.0,Unknown,2.58
4120,绿头鸭,Anas platyrhynchos,雁形目,鸭科,5991.4,33,2.4937,0.0735,LC,0.0,Decreasing,2.57
4887,黄眉柳莺,Phylloscopus inornatus,雀形目,柳莺科,5871.2,34,2.5168,0.0000,LC,0.0,Stable,2.52
5206,白腹鸫,Turdus pallidus,雀形目,鸫科,11282.6,24,1.7517,0.7353,LC,0.0,Decreasing,2.49
5463,金翅雀,Chloris sinica,雀形目,燕雀科,6931.5,33,2.3266,0.0735,LC,0.0,Stable,2.40
4294,池鹭,Ardeola bacchus,鹈形目,鹭科,6674.9,34,2.3700,0.0000,LC,0.0,Stable,2.37
4804,纯色山鹪莺,Prinia inornata,雀形目,扇尾莺科,11703.8,26,1.7075,0.5882,LC,0.0,Stable,2.30
4122,绿翅鸭,Anas crecca,雁形目,鸭科,7179.1,34,2.2860,0.0000,LC,0.0,Unknown,2.29
4402,青脚鹬,Tringa nebularia,鸻形目,鹬科,7223.3,34,2.2789,0.0000,LC,0.0,Stable,2.28
5192,灰背鸫,Turdus hortulorum,雀形目,鸫科,9933.7,29,1.9044,0.3676,LC,0.0,Unknown,2.27
4396,矶鹬,Actitis hypoleucos,鸻形目,鹬科,7588.2,34,2.2216,0.0000,LC,0.0,Stable,2.22
4321,普通鸬鹚,Phalacrocorax carbo,鲣鸟目,鸬鹚科,7736.4,34,2.1991,0.0000,LC,0.0,Increasing,2.20
4630,红隼,Falco tinnunculus,隼形目,隼科,7974.7,34,2.1637,0.0000,LC,0.0,Decreasing,2.16
5169,丝光椋鸟,Spodiopsar sericeus,雀形目,椋鸟科,10254.5,30,1.8664,0.2941,LC,0.0,Stable,2.16
4300,大白鹭,Ardea alba,鹈形目,鹭科,9298.6,34,1.9829,0.0000,LC,0.0,Stable,1.98
5395,树鹨,Anthus hodgsoni,雀形目,鹡鸰科,9587.1,34,1.9466,0.0000,LC,0.0,Unknown,1.95
4892,黄腰柳莺,Phylloscopus proregulus,雀形目,柳莺科,10216.7,33,1.8708,0.0735,LC,0.0,Decreasing,1.94
4118,斑嘴鸭,Anas zonorhyncha,雁形目,鸭科,11712.0,33,1.7066,0.0735,LC,0.0,Decreasing,1.78
4560,戴胜,Upupa epops,犀鸟目,戴胜科,11696.5,33,1.7082,0.0735,LC,0.0,Decreasing,1.78
5013,暗绿绣眼鸟,Zosterops simplex,雀形目,绣眼鸟科,12941.4,32,1.5854,0.1471,LC,0.0,Decreasing,1.73
4575,普通翠鸟,Alcedo atthis,佛法僧目,翠鸟科,11956.9,34,1.6816,0.0000,LC,0.0,Decreasing,1.68
4721,灰喜鹊,Cyanopica cyanus,雀形目,鸦科,15691.8,30,1.3486,0.2941,LC,0.0,Decreasing,1.64
4848,家燕,Hirundo rustica,雀形目,燕科,12521.3,34,1.6256,0.0000,LC,0.0,Decreasing,1.63
4986,棕头鸦雀,Sinosuthora webbiana,雀形目,鸦雀科,16664.4,30,1.2738,0.2941,LC,0.0,Unknown,1.57
5502,灰头鹀,Emberiza spodocephala,雀形目,鹀科,14233.8,33,1.4689,0.0735,LC,0.0,Unknown,1.54
5272,红胁蓝尾鸲,Tarsiger cyanurus,雀形目,鹟科,13538.2,34,1.5304,0.0000,LC,0.0,Unknown,1.53
4145,山斑鸠,Streptopelia orientalis,鸽形目,鸠鸽科,14465.8,34,1.4490,0.0000,LC,0.0,Decreasing,1.45
5220,鹊鸲,Copsychus saularis,雀形目,鹟科,27391.6,23,0.6423,0.8088,LC,0.0,Stable,1.45
4230,白骨顶,Fulica atra,鹤形目,秧鸡科,15594.0,34,1.3563,0.0000,LC,0.0,Increasing,1.36
5418,黑尾蜡嘴雀,Eophona migratoria,雀形目,燕雀科,18634.1,31,1.1341,0.2206,LC,0.0,Decreasing,1.35
4297,苍鹭,Ardea cinerea,鹈形目,鹭科,16626.9,34,1.2766,0.0000,LC,0.0,Unknown,1.28
5308,北红尾鸲,Phoenicurus auroreus,雀形目,鹟科,17871.8,33,1.1865,0.0735,LC,0.0,Stable,1.26
